date_time_local,unixtime,pressure_station,pressure_sea,wind_dir,wind_dir_10s,wind_speed,wind_gust,relative_humidity,dew_point,temperature,windchill,humidex,visibility,health_index,cloud_cover_4,cloud_cover_8,cloud_cover_10,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr
"2022-02-28 15:00:00 EST",1646078400,100.47,102.67,SSE,15,14,,60,-12.9,-6.3,-12,,24100,,,8,,,-5.8,-6.6
"2022-02-28 14:00:00 EST",1646074800,100.52,102.72,SE,13,9,,51,-14.4,-5.9,-10,,24100,2.5,,8,,,-5.5,-6.5
"2022-02-28 13:00:00 EST",1646071200,100.63,102.83,SE,14,7,,48,-15.6,-6.3,-10,,24100,2.5,,7,,,-5.7,-7.1
"2022-02-28 12:00:00 EST",1646067600,100.7,102.9,SE,13,11,,46,-16.4,-6.8,-12,,24100,2.8,,3,,,-6.4,-8.1
"2022-02-28 11:00:00 EST",1646064000,100.7,102.91,N,1,4,,44,-18.3,-8.1,-10,,24100,2.9,,3,,,-8,-9.3
"2022-02-28 10:00:00 EST",1646060400,100.75,102.96,NNE,1,4,,46,-18.8,-9.2,-11,,24100,3.3,,2,,,-9.2,-10.4
"2022-02-28 09:00:00 EST",1646056800,100.7,102.91,NNE,3,11,,47,-19.6,-10.4,-16,,24100,3.5,,1,,,-10.4,-11.8
"2022-02-28 08:00:00 EST",1646053200,100.67,102.88,NNE,2,11,,56,-18.9,-11.9,-18,,24100,3.4,,1,,,-11.8,-13.1
"2022-02-28 07:00:00 EST",1646049600,100.6,102.81,NNE,2,11,,60,-18.9,-12.8,-19,,24100,3.2,,0,,,-12.5,-13.7
"2022-02-28 06:00:00 EST",1646046000,100.57,102.77,NNE,2,10,,58,-19.6,-13,-19,,24100,3.1,,0,,,-11.6,-13
"2022-02-28 05:00:00 EST",1646042400,100.51,102.71,NNE,1,12,,54,-19.4,-11.9,-18,,24100,2.9,,0,,,-10.8,-12.1
"2022-02-28 04:00:00 EST",1646038800,100.44,102.63,N,0,14,,50,-19.3,-10.8,-17,,24100,2.7,,0,,,-10.2,-10.9
"2022-02-28 03:00:00 EST",1646035200,100.41,102.6,N,36,17,,48,-19.3,-10.3,-18,,24100,2.6,,0,,,-9.4,-10.7
"2022-02-28 02:00:00 EST",1646031600,100.35,102.54,N,1,14,,48,-18.4,-9.5,-16,,24100,2.6,,2,,,-8,-9.5
"2022-02-28 01:00:00 EST",1646028000,100.25,102.43,NNE,2,23,,50,-16.6,-7.9,-16,,24100,2.6,,6,,,-6.4,-7.9
"2022-02-28 00:00:00 EST",1646024400,100.13,102.3,N,36,23,32,53,-14.4,-6.5,-14,,24100,2.7,,7,,,-6.3,-7.1
"2022-02-27 23:00:00 EST",1646020800,100.06,102.23,NW,32,17,,61,-13.4,-7.1,-14,,24100,2.8,,3,,,-6,-7.1
"2022-02-27 22:00:00 EST",1646017200,100,102.17,NW,32,23,,57,-13.4,-6.1,-13,,24100,2.8,,3,,,-5.1,-6.1
"2022-02-27 21:00:00 EST",1646013600,99.93,102.1,NW,32,35,,57,-12.4,-5.2,-14,,24100,2.8,,1,,,-3.9,-5.3
