ListId,Status ,DaysOnMarket,GrossFloorArea,AdjustedLivingArea,PropertyType,HOAFee,PropertyTax,Bedrooms,Bathrooms,YearBuilt,GarageSpace,Address,Area,City,Province,Latitude,Longitude,ListPrice
1,Available,43,1244,1095,Condo,3310,6025,3,2,2004,2,86 Waterford Dr,Richview,Toronto,ON,43.679882,-79.544266,980000
2,Available,22,646,568,Condo,2780,4886,1,1,2012,1,#80 - 100 BEDDOE DR,Chedoke Park B,Hamilton,ON,43.25,-79.904396,399900
3,Available,103,505,444,Condo,2520,5853,1,1,2013,1,213 Bowman Street,Ainslie Wood East,Hamilton,ON,43.25169,-79.919357,479000
4,Available,60,1714,1371,Semi-Detached,3650,4715,3,2,2004,2,102 NEIL Avenue,Greenford,Hamilton,ON,43.227161,-79.767403,385900
5,Available,113,574,505,Condo,2660,4070,1,1,2013,1,#1409 - 230 King St,Downtown,Toronto,ON,43.651478,-79.368118,662000
6,Available,13,1342,1074,Semi-Detached,3580,5459,3,2,2005,2,254A Monarch Park Ave,Old East York,Toronto,ON,43.686375,-79.328918,888000
7,Available,260,6730,5384,Detached,4020,9222,7,7,1963,4,532 Caledonia Rd,Fairbank,Toronto,ON,43.691193,-79.461662,1500000
8,Available,105,643,566,Condo,2210,3115,1,1,2009,1,11 REBECCA Street,Central Hamilton,Hamilton,ON,43.258541,-79.867615,254900
9,Available,42,1843,1474,Detached,3640,4459,4,3,1999,2,617 BRIGADOON Drive,Gourley,Hamilton,ON,43.216557,-79.904991,364900
10,Available,58,569,501,Condo,2460,3725,1,1,2010,1,51 - 255 MOUNT ALBION Road,Red Hill,Hamilton,ON,43.215706,-79.794189,304900
11,Available,117,704,620,Condo,2870,2123,2,1,2008,1,1170 LAMBTON Drive,Clearview,Oakville,ON,43.495579,-79.658272,289000
12,Available,29,829,730,Condo,2860,3154,2,1,2013,1,47 Armstrong Ave,Wallace Emerson,Toronto,ON,43.664101,-79.439751,513000
