date,max_dew_point_v,max_dew_point_s,max_dew_point_c,max_dew_point_d,max_relative_humidity_v,max_relative_humidity_s,max_relative_humidity_c,max_relative_humidity_d,max_temperature_v,max_temperature_s,max_temperature_c,max_temperature_d,max_wind_speed_v,max_wind_speed_s,max_wind_speed_c,max_wind_speed_d,min_dew_point_v,min_dew_point_s,min_dew_point_c,min_dew_point_d,min_relative_humidity_v,min_relative_humidity_s,min_relative_humidity_c,min_relative_humidity_d,min_temperature_v,min_temperature_s,min_temperature_c,min_temperature_d,min_wind_speed_v,min_wind_speed_s,min_wind_speed_c,min_wind_speed_d,precipitation_v,precipitation_s,precipitation_c,precipitation_d,rain_v,rain_s,rain_c,rain_d,snow_v,snow_s,snow_c,snow_d,snow_on_ground_v,snow_on_ground_s,snow_on_ground_c,snow_on_ground_d,solar_radiation_v,solar_radiation_s,solar_radiation_c,solar_radiation_d
2022-03-01,-3.83,6.24,450,"1992-02-23 2021-03-08",83.97,9.73,450,"1992-02-23 2021-03-08",1.44,5.86,450,"1992-02-23 2021-03-08",31.04,11.86,450,"1992-02-23 2021-03-08",-11.06,6.51,450,"1992-02-23 2021-03-08",56,13.14,450,"1992-02-23 2021-03-08",-6.95,5.94,450,"1992-02-23 2021-03-08",5.97,5.92,450,"1992-02-23 2021-03-08",1.86,3.94,449,"1992-02-23 2021-03-08",0.97,3.17,449,"1992-02-23 2021-03-08",0.94,2.34,449,"1992-02-23 2021-03-08",5.5,6.89,415,"1992-02-23 2021-03-04",,,,
2022-02-28,-3.86,6.17,450,"1992-02-21 2021-03-07",84.18,9.79,450,"1992-02-21 2021-03-07",1.29,5.6,450,"1992-02-21 2021-03-07",31.05,11.79,450,"1992-02-21 2021-03-07",-11.16,6.44,450,"1992-02-21 2021-03-07",56.28,13.29,450,"1992-02-21 2021-03-07",-7.04,5.84,450,"1992-02-21 2021-03-07",5.9,5.83,450,"1992-02-21 2021-03-07",1.85,3.94,447,"1992-02-21 2021-03-07",0.99,3.19,447,"1992-02-21 2021-03-07",0.92,2.32,448,"1992-02-21 2021-03-07",5.4,6.81,413,"1992-02-21 2021-03-04",,,,
2022-02-27,-3.89,6.2,450,"1992-02-20 2021-03-06",84.22,9.83,450,"1992-02-20 2021-03-06",1.21,5.62,450,"1992-02-20 2021-03-06",31.16,11.83,450,"1992-02-20 2021-03-06",-11.1,6.5,450,"1992-02-20 2021-03-06",56.58,13.29,450,"1992-02-20 2021-03-06",-7.02,5.87,450,"1992-02-20 2021-03-06",5.98,5.86,450,"1992-02-20 2021-03-06",1.86,3.8,448,"1992-02-20 2021-03-06",0.96,2.97,448,"1992-02-20 2021-03-06",0.95,2.35,449,"1992-02-20 2021-03-06",5.2,6.69,414,"1992-02-20 2021-03-04",,,,
2022-02-26,-3.85,6.14,450,"1992-02-19 2021-03-05",84.11,9.81,450,"1992-02-19 2021-03-05",1.2,5.56,450,"1992-02-19 2021-03-05",31.28,11.88,450,"1992-02-19 2021-03-05",-11.13,6.5,450,"1992-02-19 2021-03-05",56.91,13.12,450,"1992-02-19 2021-03-05",-7.06,5.85,450,"1992-02-19 2021-03-05",6.05,5.94,450,"1992-02-19 2021-03-05",1.81,3.77,447,"1992-02-19 2021-03-05",0.99,2.99,447,"1992-02-19 2021-03-05",0.84,2.2,449,"1992-02-19 2021-03-05",5.2,6.63,416,"1992-02-19 2021-03-04",,,,
2022-02-25,-3.83,6.21,450,"1992-02-18 2021-03-04",84.33,9.73,450,"1992-02-18 2021-03-04",1.14,5.66,450,"1992-02-18 2021-03-04",31.51,12.05,450,"1992-02-18 2021-03-04",-11.11,6.52,450,"1992-02-18 2021-03-04",57.25,12.95,450,"1992-02-18 2021-03-04",-7.07,5.9,450,"1992-02-18 2021-03-04",5.94,5.85,450,"1992-02-18 2021-03-04",1.76,3.63,446,"1992-02-18 2021-03-04",0.97,2.9,446,"1992-02-18 2021-03-04",0.82,2.08,448,"1992-02-18 2021-03-04",5.3,6.57,419,"1992-02-18 2021-03-04",,,,
2022-02-24,-3.84,6.22,450,"1992-02-17 2021-03-03",84.5,9.59,450,"1992-02-17 2021-03-03",1.05,5.67,450,"1992-02-17 2021-03-03",31.29,11.94,450,"1992-02-17 2021-03-03",-11.21,6.57,450,"1992-02-17 2021-03-03",57.66,12.85,450,"1992-02-17 2021-03-03",-7.25,5.97,450,"1992-02-17 2021-03-03",5.67,5.63,450,"1992-02-17 2021-03-03",1.83,3.86,445,"1992-02-17 2021-03-03",1.04,3.17,445,"1992-02-17 2021-03-03",0.81,2.07,447,"1992-02-17 2021-03-03",5.4,6.8,420,"1992-02-17 2021-03-01",,,,
2022-02-23,-3.88,6.18,450,"1992-02-16 2021-03-02",84.73,9.51,450,"1992-02-16 2021-03-02",0.93,5.7,450,"1992-02-16 2021-03-02",31.04,11.89,450,"1992-02-16 2021-03-02",-11.26,6.54,450,"1992-02-16 2021-03-02",57.85,12.86,450,"1992-02-16 2021-03-02",-7.34,5.96,450,"1992-02-16 2021-03-02",5.49,5.52,450,"1992-02-16 2021-03-02",1.91,3.94,445,"1992-02-16 2021-03-02",1.04,3.2,445,"1992-02-16 2021-03-02",0.91,2.23,447,"1992-02-16 2021-03-02",5.5,7.03,422,"1992-02-16 2021-03-01",,,,
2022-02-22,-3.96,6.23,450,"1992-02-15 2021-03-01",84.76,9.44,450,"1992-02-15 2021-03-01",0.82,5.74,450,"1992-02-15 2021-03-01",30.93,11.7,450,"1992-02-15 2021-03-01",-11.36,6.69,450,"1992-02-15 2021-03-01",58.13,12.87,450,"1992-02-15 2021-03-01",-7.46,6.1,450,"1992-02-15 2021-03-01",5.52,5.49,450,"1992-02-15 2021-03-01",1.91,4.02,445,"1992-02-15 2021-03-01",1.08,3.3,445,"1992-02-15 2021-03-01",0.87,2.19,447,"1992-02-15 2021-03-01",5.6,7.25,423,"1992-02-15 2021-03-01",,,,
2022-02-21,-4.18,6.22,450,"1992-02-14 2021-02-28",84.58,9.48,450,"1992-02-14 2021-02-28",0.61,5.75,450,"1992-02-14 2021-02-28",30.69,11.6,450,"1992-02-14 2021-02-28",-11.51,6.79,450,"1992-02-14 2021-02-28",58.1,12.77,450,"1992-02-14 2021-02-28",-7.6,6.18,450,"1992-02-14 2021-02-28",5.58,5.53,450,"1992-02-14 2021-02-28",1.88,3.97,445,"1992-02-14 2021-02-28",1.05,3.24,445,"1992-02-14 2021-02-28",0.86,2.18,447,"1992-02-14 2021-02-28",5.8,7.47,423,"1992-02-14 2021-02-27",,,,
2022-02-20,-4.39,6.12,450,"1992-02-13 2021-02-27",84.56,9.33,450,"1992-02-13 2021-02-27",0.31,5.72,450,"1992-02-13 2021-02-27",30.92,11.6,450,"1992-02-13 2021-02-27",-11.81,6.78,450,"1992-02-13 2021-02-27",58.12,12.5,450,"1992-02-13 2021-02-27",-7.84,6.16,450,"1992-02-13 2021-02-27",5.78,5.61,450,"1992-02-13 2021-02-27",1.85,3.91,445,"1992-02-13 2021-02-27",0.97,3.14,445,"1992-02-13 2021-02-27",0.91,2.22,447,"1992-02-13 2021-02-27",5.8,7.68,427,"1992-02-13 2021-02-27",,,,
